steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.0,100,1.0
300,3,3.0,100,1.0
400,4,4.0,100,1.0
500,5,5.0,100,1.0
600,6,6.0,100,1.0
700,7,7.0,100,1.0
800,8,8.0,100,1.0
900,9,9.0,100,1.0
1000,10,10.0,100,1.0
1200,12,12.0,100,1.0
1400,14,14.0,100,1.0
1700,17,17.0,100,1.0
2000,20,20.0,100,1.0
2500,25,25.0,100,1.0
3000,30,30.0,100,1.0
4000,40,40.0,100,1.0
5000,50,50.0,100,1.0
6000,60,60.0,100,1.0
7000,70,70.0,100,1.0
8000,80,80.0,100,1.0
9000,90,90.0,100,1.0
10000,100,100.0,100,1.0
12000,120,120.1,100,1.0
14000,140,141.6999999999999,100,1.1
17000,170,172.49999999999986,100,1.1
20000,200,203.6999999999998,100,1.0
25000,250,254.49999999999974,100,1.0
30000,300,307.50000000000045,100,1.0
40000,400,411.6000000000014,100,1.0
50000,500,517.5000000000027,100,1.0
60000,600,619.4000000000032,100,1.0
70000,700,724.4000000000043,100,1.1
80000,800,833.3000000000063,100,1.1
90000,900,942.4000000000084,100,1.1
100000,1000,1051.6000000000076,100,1.1
