steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.0,100,1.0
300,3,3.0,100,1.0
400,4,4.0,100,1.0
500,5,5.0,100,1.0
600,6,6.0,100,1.0
700,7,7.0,100,1.0
800,8,8.0,100,1.0
900,9,9.0,100,1.0
1000,10,10.0,100,1.0
1200,12,12.1,100,1.0
1400,14,14.2,100,1.1
1700,17,17.299999999999997,100,1.0
2000,20,20.4,100,1.0
2500,25,25.4,100,1.0
3000,30,30.4,100,1.0
4000,40,40.6,100,1.0
5000,50,50.800000000000004,100,1.1
6000,60,61.00000000000001,100,1.0
7000,70,71.0,100,1.0
8000,80,81.0,100,1.0
9000,90,91.39999999999998,100,1.0
10000,100,101.49999999999997,100,1.0
12000,120,121.89999999999995,100,1.0
14000,140,142.39999999999992,100,1.0
17000,170,172.7999999999999,100,1.0
20000,200,203.09999999999988,100,1.0
25000,250,253.59999999999985,100,1.0
30000,300,303.99999999999994,100,1.0
40000,400,404.2,100,1.0
50000,500,504.2,100,1.0
60000,600,604.3000000000001,100,1.0
70000,700,704.6000000000001,100,1.0
80000,800,804.7000000000002,100,1.0
90000,900,904.8000000000002,100,1.0
100000,1000,1004.9000000000002,100,1.0
