steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.0,100,1.0
300,3,3.0,100,1.0
400,4,4.0,100,1.0
500,5,5.1,100,1.1
600,6,6.199999999999999,100,1.1
700,7,7.199999999999999,100,1.0
800,8,8.2,100,1.0
900,9,9.2,100,1.0
1000,10,10.299999999999999,100,1.1
1200,12,12.299999999999999,100,1.0
1400,14,14.299999999999999,100,1.0
1700,17,17.299999999999997,100,1.0
2000,20,20.4,100,1.0
2500,25,25.5,100,1.0
3000,30,30.5,100,1.0
4000,40,40.5,100,1.0
5000,50,50.5,100,1.0
6000,60,60.5,100,1.0
7000,70,70.5,100,1.0
8000,80,80.6,100,1.0
9000,90,90.6,100,1.0
10000,100,100.6,100,1.0
12000,120,120.69999999999999,100,1.0
14000,140,140.7,100,1.0
17000,170,170.79999999999998,100,1.0
20000,200,200.79999999999998,100,1.0
25000,250,250.89999999999998,100,1.0
30000,300,301.0,100,1.0
40000,400,401.0,100,1.0
50000,500,501.1,100,1.0
60000,600,601.2,100,1.0
70000,700,701.2,100,1.0
80000,800,801.6000000000001,100,1.0
90000,900,901.6000000000001,100,1.0
100000,1000,1001.6000000000001,100,1.0
