steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.0,100,1.0
300,3,3.0,100,1.0
400,4,4.0,100,1.0
500,5,5.0,100,1.0
600,6,6.1,100,1.1
700,7,7.1,100,1.0
800,8,8.1,100,1.0
900,9,9.2,100,1.1
1000,10,10.2,100,1.0
1200,12,12.2,100,1.0
1400,14,14.2,100,1.0
1700,17,17.299999999999997,100,1.0
2000,20,20.5,100,1.0
2500,25,25.5,100,1.0
3000,30,30.5,100,1.0
4000,40,40.900000000000006,100,1.0
5000,50,51.30000000000001,100,1.0
6000,60,61.600000000000016,100,1.0
7000,70,71.80000000000001,100,1.0
8000,80,82.0,100,1.0
9000,90,92.19999999999999,100,1.0
10000,100,102.69999999999996,100,1.0
12000,120,122.69999999999996,100,1.0
14000,140,142.69999999999996,100,1.0
17000,170,172.79999999999995,100,1.0
20000,200,202.79999999999995,100,1.0
25000,250,252.89999999999995,100,1.0
30000,300,302.9,100,1.0
40000,400,403.0,100,1.0
50000,500,503.1,100,1.0
60000,600,603.2,100,1.0
70000,700,703.3000000000001,100,1.0
80000,800,803.3000000000001,100,1.0
90000,900,903.5000000000001,100,1.0
100000,1000,1003.7000000000002,100,1.0
